
Images

Name, Author, Download URL, Attribution URL, License type

kitchen, Clker-Free-Vector-Images, https://pixabay.com/vectors/kitchen-house-rooms-furniture-294596/, n/a, CCO
bedroom, Clker-Free-Vector-Images, https://pixabay.com/vectors/house-room-bed-furniture-bedroom-294594/, n/a, CCO
bathroom, Clker-Free-Vector-Images, https://pixabay.com/vectors/bathroom-house-furniture-rooms-294588/, n/a, CCO
living_room,  Clker-Free-Vector-Images, https://pixabay.com/vectors/living-room-house-room-bedroom-294615/, n/a, CCO
garden, Pixaline, https://pixabay.com/illustrations/garden-fence-garden-fence-nature-1134180/, n/a, CCO
teddy, open Clipart=Vectors, https://pixabay.com/vectors/teddy-bear-teddy-toy-bear-cute-152700/, n/a, CCO
cooking_pot, OpenClipart-Vectors, https://pixabay.com/users/openclipart-vectors-30363/, n/a, CCO
coffee_maker, Clker-Free-Vector-Images, https://pixabay.com/users/clker-free-vector-images-3736/, n/a, CCO
knife, JJuni, https://pixabay.com/illustrations/kitchen-knives-kitchen-kitchen-knife-1135268/, n/a, CCO
pan, OpenClipart-Vectors, https://pixabay.com/vectors/cooking-education-kitchen-pan-1300675/, n/a, CCO
toaster, OpenClipart-Vectors, https://pixabay.com/vectors/toast-toaster-breakfast-kitchen-154616/, n/a, CCO
fridge, TKaucic, https://pixabay.com/vectors/fridge-kitchen-refrigerator-home-2827034/, n/a, CCO
bedLamp, Clker-Free-Vector-Images, https://pixabay.com/vectors/bedside-table-light-furniture-24764/, n/a, CCO
bed, OpenClipart-Vectors, https://pixabay.com/vectors/bed-furniture-bedroom-four-poster-575797/, n/a, CCO
bunkbed, OpenClipart-Vectors, https://pixabay.com/vectors/bed-bedroom-bunk-bed-dormitory-1298903/, n/a, CCO
wardrobe, OpenClipart-Vectors, https://pixabay.com/vectors/armoire-dresser-furniture-cabinet-575821/, n/a, CCO
dresser, OpenClipart-Vectors, https://pixabay.com/vectors/dresser-furniture-cabinet-storage-576043/, n/a, CCO
couch, OpenClipart-Vectors,https://pixabay.com/vectors/couch-sofa-furniture-seating-seat-576128/, n/a, CCO
